resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
34381,"JANELA MAXIM-AR, EM ALUMINIO PERFIL 25, 60 X 80 CM (A X L), ACABAMENTO BRANCO OU BRILHANTE, BATENTE DE 4 A 5 CM, COM VIDRO 4 MM, SEM GUARNICAO/ALIZAR",Material,General,UN,662.77,662.77,662.77,662.77,1,BRL,1380.75,2.0833,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
45187,"JANELA DE CORRER, EM ALUMINIO BRANCO, 120 X 150 CM, 4 FOLHAS MOVEIS, SEM BANDEIRA",Material,General,M2,0.0,0.0,0.0,0.0,0,BRL,0.0,0.556,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
34364,"JANELA DE CORRER, EM ALUMINIO PERFIL 25, 120 X 150 CM (A X L), 4 FLS, BANDEIRA COM BASCULA, ACABAMENTO BRANCO OU BRILHANTE, BATENTE/REQUADRO DE 6 A 14 CM, COM VIDRO 4 MM, SEM GUARNICAO/ALIZAR",Material,General,UN,1524.74,1524.74,1524.74,1524.74,1,BRL,847.76,0.556,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
7700,"TUBO ACO GALVANIZADO COM COSTURA, CLASSE MEDIA, DN 3/4"", E = *2,65* MM, PESO *1,58* KG/M (NBR 5580)",Material,General,M,26.53,26.53,26.53,26.53,1,BRL,27.56,1.039,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
7691,"TUBO ACO GALVANIZADO COM COSTURA, CLASSE MEDIA, DN 1/2"", E = *2,65* MM, PESO *1,22* KG/M (NBR 5580)",Material,General,M,20.97,20.97,20.97,20.97,1,BRL,21.79,1.039,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
6295,"TE DE FERRO GALVANIZADO, DE 3/4""",Material,General,UN,14.07,14.07,14.07,14.07,1,BRL,14.07,1.0,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
6294,"TE DE FERRO GALVANIZADO, DE 1/2""",Material,General,UN,9.88,9.88,9.88,9.88,1,BRL,9.88,1.0,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
104181,"PERFURAÇÃO DE SOLO, INSTALAÇÃO E DESINSTALAÇÃO DE PONTEIRAS PARA SISTEMA DE REBAIXAMENTO DE LENÇOL FREÁTICO POR PONTEIRAS FILTRANTES EM OBRAS ITINERANTES. AF_12/2022",Abstract Material,General,M,0.0,0.0,0.0,0.0,0,BRL,0.0,5.0,1,1,Esgotamento de Vala e Rebaixamento do Lençol Freático,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esgotamento de Vala e Rebaixamento do Lençol Freático,Esgotamento de Vala e Rebaixamento do Lençol Freático
104180,"PERFURAÇÃO DE SOLO, INSTALAÇÃO E DESINSTALAÇÃO DE PONTEIRAS PARA SISTEMA DE REBAIXAMENTO DE LENÇOL FREÁTICO POR PONTEIRAS FILTRANTES EM OBRAS ESTACIONÁRIAS. AF_12/2022",Abstract Material,General,M,0.0,0.0,0.0,0.0,0,BRL,0.0,5.0,1,1,Esgotamento de Vala e Rebaixamento do Lençol Freático,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esgotamento de Vala e Rebaixamento do Lençol Freático,Esgotamento de Vala e Rebaixamento do Lençol Freático
44909,"MANGUEIRA FLEXIVEL TRANSPARENTE COM ESPIRAL AZUL, EM PVC, DIAM. 1"" (25 MM), PARA SERVICOS LEVES DE SUCCAO E DESCARGA",Material,General,M,0.0,0.0,0.0,0.0,0,BRL,0.0,0.25,1,1,Esgotamento de Vala e Rebaixamento do Lençol Freático,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esgotamento de Vala e Rebaixamento do Lençol Freático,Esgotamento de Vala e Rebaixamento do Lençol Freático
